Best Validation Accuracy: 0.9883669562656457
Best Validation Loss: 0.04359104583571849
Total Epochs: 220

Epoch, Train Loss, Validation Loss, Train Accuracy, Validation Accuracy
120, 0.000081, 0.056229, 1.000000, 0.985422
121, 0.000168, 0.055496, 0.999963, 0.986011
122, 0.000083, 0.055679, 1.000000, 0.985422
123, 0.001532, 0.057252, 0.999521, 0.984538
124, 0.000990, 0.056779, 0.999558, 0.984244
125, 0.000781, 0.054445, 0.999853, 0.984391
126, 0.000232, 0.056147, 1.000000, 0.984244
127, 0.000256, 0.054737, 0.999926, 0.985275
128, 0.000148, 0.055669, 1.000000, 0.985127
129, 0.000119, 0.055455, 1.000000, 0.985275
130, 0.000091, 0.054243, 1.000000, 0.984833
131, 0.000089, 0.053824, 1.000000, 0.985569
132, 0.000153, 0.054442, 1.000000, 0.984833
133, 0.000121, 0.057076, 1.000000, 0.983949
134, 0.000101, 0.056563, 1.000000, 0.983802
135, 0.000083, 0.053026, 1.000000, 0.985275
136, 0.000058, 0.052239, 1.000000, 0.985864
137, 0.000094, 0.056701, 1.000000, 0.983802
138, 0.000143, 0.055628, 1.000000, 0.984244
139, 0.001127, 0.056555, 0.999669, 0.984244
140, 0.000562, 0.054801, 0.999890, 0.983949
141, 0.000138, 0.056090, 1.000000, 0.984244
142, 0.000104, 0.052258, 1.000000, 0.985127
143, 0.000096, 0.051791, 1.000000, 0.984538
144, 0.000994, 0.062372, 0.999705, 0.983508
145, 0.001876, 0.056922, 0.999448, 0.984686
146, 0.000372, 0.053278, 0.999890, 0.984980
147, 0.001267, 0.051673, 0.999595, 0.984833
148, 0.000405, 0.049848, 0.999853, 0.986305
149, 0.000312, 0.051236, 0.999926, 0.985864
150, 0.000120, 0.051183, 1.000000, 0.985569
151, 0.000143, 0.050382, 1.000000, 0.986453
152, 0.000439, 0.056049, 0.999890, 0.983655
153, 0.000187, 0.053088, 1.000000, 0.985275
154, 0.000175, 0.053220, 0.999963, 0.985716
155, 0.000150, 0.052447, 1.000000, 0.985864
156, 0.000243, 0.051657, 0.999963, 0.986747
157, 0.000106, 0.050417, 1.000000, 0.986747
158, 0.000104, 0.052332, 1.000000, 0.986011
159, 0.000063, 0.051583, 1.000000, 0.986600
160, 0.000070, 0.052275, 1.000000, 0.985864
161, 0.000076, 0.050622, 1.000000, 0.986600
162, 0.000073, 0.049616, 1.000000, 0.987189
163, 0.000066, 0.049666, 1.000000, 0.986600
164, 0.000054, 0.049553, 1.000000, 0.986600
165, 0.000778, 0.055570, 0.999779, 0.984538
166, 0.000592, 0.052278, 0.999816, 0.986600
167, 0.000618, 0.053272, 0.999890, 0.986011
168, 0.000088, 0.051075, 1.000000, 0.986158
169, 0.000112, 0.049939, 1.000000, 0.985864
170, 0.000134, 0.049803, 1.000000, 0.986305
171, 0.000126, 0.050515, 0.999963, 0.985275
172, 0.000177, 0.047684, 1.000000, 0.987483
173, 0.000388, 0.051935, 0.999926, 0.984980
174, 0.001548, 0.052584, 0.999521, 0.983655
175, 0.000201, 0.049892, 1.000000, 0.985864
176, 0.000145, 0.050268, 1.000000, 0.985275
177, 0.000088, 0.048423, 1.000000, 0.985422
178, 0.000192, 0.049649, 0.999963, 0.985275
179, 0.000094, 0.048113, 1.000000, 0.986011
180, 0.000090, 0.049854, 1.000000, 0.986305
181, 0.000076, 0.048445, 1.000000, 0.985864
182, 0.000063, 0.046893, 1.000000, 0.986305
183, 0.000064, 0.047813, 1.000000, 0.986011
184, 0.000111, 0.046890, 1.000000, 0.986747
185, 0.000094, 0.049011, 1.000000, 0.986894
186, 0.001330, 0.050190, 0.999669, 0.986011
187, 0.000389, 0.058970, 0.999926, 0.984833
188, 0.000456, 0.054204, 0.999926, 0.985569
189, 0.000100, 0.050435, 1.000000, 0.986305
190, 0.000117, 0.050635, 1.000000, 0.986600
191, 0.000533, 0.056995, 0.999853, 0.986305
192, 0.000220, 0.053217, 0.999963, 0.985127
193, 0.000310, 0.057203, 0.999890, 0.985127
194, 0.000561, 0.055827, 0.999816, 0.986158
195, 0.000219, 0.051310, 0.999926, 0.987336
196, 0.000217, 0.052777, 0.999926, 0.986600
197, 0.000156, 0.051313, 0.999963, 0.987483
198, 0.000544, 0.053329, 0.999890, 0.986747
199, 0.000127, 0.049721, 1.000000, 0.986600
200, 0.001262, 0.046701, 0.999742, 0.987631
201, 0.000262, 0.046242, 0.999926, 0.987336
202, 0.000122, 0.046540, 1.000000, 0.988514
203, 0.000387, 0.047861, 0.999890, 0.987778
204, 0.000117, 0.046786, 1.000000, 0.987336
205, 0.000082, 0.045543, 1.000000, 0.987336
206, 0.000068, 0.043591, 1.000000, 0.988367
207, 0.000057, 0.044111, 1.000000, 0.987483
208, 0.000078, 0.044240, 1.000000, 0.988072
209, 0.000374, 0.048087, 0.999890, 0.986600
210, 0.000110, 0.047700, 1.000000, 0.986894
211, 0.000095, 0.044264, 1.000000, 0.987189
212, 0.000089, 0.044313, 1.000000, 0.987189
213, 0.000204, 0.053213, 0.999926, 0.986747
214, 0.000130, 0.051415, 1.000000, 0.986011
215, 0.000514, 0.051452, 0.999890, 0.987631
216, 0.000105, 0.048121, 1.000000, 0.987631
217, 0.000089, 0.048837, 1.000000, 0.986894
218, 0.001059, 0.052373, 0.999779, 0.985275
219, 0.000481, 0.049915, 0.999890, 0.986747
220, 0.000133, 0.049331, 0.999963, 0.986011
